Nom,URL,Région,Taille,Poids,Poil,Robe,Tête,Yeux,Oreilles,Queue,Caractère,Silhouette,Utilisation,Other names,Origin,United Kennel Club,RSCFRCE,Notes,Breed status,Height,Weight,Coat,Color,Litter size,Espèce,Colour,Clube Português de Canicultura,Fédération Cynologique Internationale,CMKU,Distribution,Kennel Club of Greece,Diffusion,Nom scientifique,Země původu,Hmotnost,Výška*,Barva,Skupina FCI,Sekce FCI,Podsekce FCI,FCI,Common nicknames,Cynological Federation of Georgia,Région d'élevage,New Zealand Kennel Club,Morphologie,Foundation stock,American Kennel Club,China Kennel Union,Pieds,Real Sociedad Canina de España,Toison,Govern Illes Balears,"Ministerio de Agricultura, Pesca y Alimentación",Ente Nazionale della Cinofilia Italiana
Lancashire Heeler,https://fr.wikipedia.org/wiki/Lancashire_Heeler,,entre 25 et 30 cm,,,noir et feu; marron foie et feu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Landseer,https://fr.wikipedia.org/wiki/Landseer_(chien),Royaume-Uni,"de 72 à 80 cm (M), de 67 à 72 cm (F)","70 kg (M), 50 kg (F)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
berger finnois de Laponie,https://fr.wikipedia.org/wiki/Berger_finnois_de_Laponie,Finlande,"Taille idéale : 51 cm (M), 46 cm (F).",,"Le poil de couverture est de longueur moyenne ou long, droit plutôt dressé et raide. Le sous-poil est noir, grisâtre ou brunâtre.","Noir dans ses différentes nuances. La couleur est plus claire en tête, sur les parties inférieures du corps et aux membres. Les marques blanches sont admises au cou, au poitrail et aux pieds.",Elle n'est que légèrement convexe. Le sillon frontal est marqué et les arcades sourcilières bien développées.,De préférence de couleur foncée. Relativement bien écartés. De forme ovale.,"Dressées, de longueur moyenne, plutôt bien écartées.","De longueur moyenne, attachée bas et abondamment pourvue de poil.","Obéissant, calme, amical, énergique et zélé.",,Chien de berger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leonberg,https://fr.wikipedia.org/wiki/Leonberg_(chien),Allemagne,"75-80cm (M), 70-75 cm (F) [ 1 ]",,"poil long, robe de différentes nuances",,masque noir,de brun clair à brun foncé,,,doux et affectueux,≈ 80 kg (M) ; ≈ 80 kg (F) [ 1 ],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lhassa Apso,https://fr.wikipedia.org/wiki/Lhassa_Apso,Tibet,23 à 27 cm,,"Long et mi-soyeux,mi-laineux, dit « de chèvre »","Toutes couleurs admises sauf le chocolat, il doit être bicolore ou unicolore","Abondante garniture en téter retombant bien sur les yeux, avec moustaches et barbe bien fournies.","De couleur sombre, de dimensions moyennes, disposés vers l'avant, de forme ovale. Ils ne sont ni grands, ni à fleur de tête, ni petits ni enfoncés dans les orbites. Aucun blanc visible ni à la base ni au sommet de l'œil.","Pendantes, franges abondantes.","Attachée haut, portée bien sur le dos et non pas en crémaillère. Présente souvent un nœud à l'extrémité. Bonne garniture de poils.","Bon gardien, affectueux, très attaché à son maître, méfiant envers les étrangers.",5 à 7 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lucas Terrier,https://en.wikipedia.org/wiki/Lucas_Terrier,,,,,,,,,,,,,,England,,,,,,,"Fairly harsh, double, medium length",,,,"Tan or combinations of tan, white, black, or badger",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lundehund,https://fr.wikipedia.org/wiki/Chien_norv%C3%A9gien_de_macareux,Norvège,"30-36 cm pour la femelle, 33-38 cm pour le mâle","8 kg pour la femelle, 9 kg pour le mâle",,"Fauve, blanche, parsemée de poils noirs","De largeur moyenne, en forme de coin",Légèrement de biais et non proéminent. L'iris est brun jaunâtre ; la pupille est entourée d'un halo foncé.,"Triangulaires, de grandeur moyenne, dressées.",Attachée haut. Portée en anneau ou légèrement roulée sur le dos ou pendante.,"Éveillé, énergique, vif.",,Chien de chasse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lupo Italiano,https://en.wikipedia.org/wiki/Lupo_Italiano,,,,,,,,,,,,,,Italy,,,,Not recognised as a breed by any major kennel club .,Males,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lurcher,https://fr.wikipedia.org/wiki/Lurcher,Royaume-Uni et Irlande,69-77 cm,27-32 kg,Dur ou ras,,,,,,"Affectueux, fidèle et obéissant",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bichon maltais,https://fr.wikipedia.org/wiki/Bichon_maltais,Malte,20 à 25 cm,2 à 5 kg,"Longueur moyenne, ondulé Dense, brillant",Blanc,Ronde,Noirs ou marron foncé,Forme presque triangulaire tombante,"Retombante, poilue","Affectueux, docile, intelligent Facile à vivre, calme, doux",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lévrier hongrois,https://fr.wikipedia.org/wiki/L%C3%A9vrier_hongrois,Hongrie,"M 65-70 cm, F 62-67 cm",,"Court, serré, dur","Toutes couleurs admises, sauf bleu, bleu et blanc, brun, louvet, noir et feu; tricolore",Forme un coin à base assez large; stop marqué.,"Grandeur moyenne, foncés. Expression vive et intelligente","Assez grandes, repliées en rose, tissu épais; dressées seulement si le chien est attentif","Longue, forte, épaisse, tombante et légèrement recourbée. Se redresse en action.","Réservé, sans être timide, éveillé, intelligent",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Braque hongrois à poil court,https://fr.wikipedia.org/wiki/Braque_hongrois_%C3%A0_poil_court,Hongrie,"58 à 64 cm (M), 54 à 60 cm (F)",,Court et serré.,Froment-doré,"Sèche, noble, bien proportionnée.","De forme quelque peu ovale, de grandeur moyenne et de couleur marron.",Légèrement en arrière. Tombantes. L'extrémité à la forme d'un V.,"Attachée un peu bas, elle peut être écourtée si la législation l'autorise.","Vif, aimable, équilibré, facile à éduquer [ 1 ]",,Chien de chasse [ 1 ],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manchester Terrier,https://fr.wikipedia.org/wiki/Manchester_terrier,Angleterre,Idéale : 41 cm (M) et 38 cm (F).,,"Serré, lisse, court et luisant.",Noire et feu.,"Crâne long, plat et étroit, cunéiforme. Truffe noire de jais.","Assez petits, en amande, de couleur foncée.","Petites, en forme de V","Courte, épaisse à la naissance, s'effilant en pointe.","Éveillé, gai et fidèle.","Chien de terrier de taille moyenne, d'aspect compact, élégant et robuste.",Chien de compagnie .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maneto,https://en.wikipedia.org/wiki/Maneto,,,,,,,,,,,,,,Andalusia ( Spain ),,standard,,,30 - 35 cm,8.5 - 11.5 kg,"short, smooth",,,,cinnamon or bicolour (cinnamon and white),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Markiesje,https://en.wikipedia.org/wiki/Markiesje,,,,,,,,,,,,,Dutch Tulip Dog Nederlandse Tulphond,Netherlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mastiff,https://fr.wikipedia.org/wiki/Mastiff,Royaume-Uni,mâle : de 70 à 82 cm femelle : de 66 à 80 cm poids mâle : de 70 à 110 kg femelle : de 60 à 90 kg,,"court, serré","sable, abricot, bringé","massive, carrée",foncés,"petites, noires","longue, jamais portée sur le dos","calme, noble, fort, doux, un peu méfiant",massive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mâtin des Pyrénées,https://fr.wikipedia.org/wiki/M%C3%A2tin_des_Pyr%C3%A9n%C3%A9es,Espagne et France ( Pyrénées ),environ 77 cm pour le mâle et 72 pour la femelle.,,fourni et assez long (6 à 9 cm).,,,,,,,/ poids=55-70 kg. / espérance de vie=environ 13 ans.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mâtin espagnol,https://fr.wikipedia.org/wiki/M%C3%A2tin_espagnol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lévrier Tazi,https://fr.wikipedia.org/wiki/L%C3%A9vrier_Tazi,Kazakhstan,,,"court et serré, avec franges sur oreilles et queue",toute coloration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Miniature American Shepherd,https://en.wikipedia.org/wiki/Miniature_American_Shepherd,,,,,,,,,,,,,Miniature Australian Shepherd Toy Australian Shepherd Berger Miniature Américain Miniatur Amerikanischer Schäferhund Pastor Miniatura American,United States,,,,,Males,,Medium length double coat,"Black, blue merle, red, red merle, with or without tan and/or white markings in specified areas",2–6 puppies,,,,standard,,,,,,,,,,,,,,"Mini American, MAS, Mini Aussie",,,,,,standard,,,,,,,
Miniature Australian Shepherd,https://en.wikipedia.org/wiki/Miniature_Australian_Shepherd,,,,,,,,,,,,,Miniature Australian Shepherd Toy Australian Shepherd Berger Miniature Américain Miniatur Amerikanischer Schäferhund Pastor Miniatura American,United States,,,,,Males,,Medium length double coat,"Black, blue merle, red, red merle, with or without tan and/or white markings in specified areas",2–6 puppies,,,,standard,,,,,,,,,,,,,,"Mini American, MAS, Mini Aussie",,,,,,standard,,,,,,,
Bull Terrier miniature,https://fr.wikipedia.org/wiki/Bull_Terrier_miniature,,max 35cm,,"Ras, sans sous poil","Bringé, rouge, tricolore ou blanc. Pour les chiens colorés, la couleur doit prédominer sur le blanc et pour les chiens blancs, les taches sont acceptées mais uniquement sur la tête.",,"Étroits, en forme de triangle de couleur noire (ou très foncée).",Droites,"Courte, portée horizontalement.","Déterminé et très joueur : demande une éducation cohérente mais non brutale. Il est très attaché à son maître et reste un peu exclusif vis-à-vis de lui ce qui fait qu'il peut parfois se montrer protecteur. Très câlin, il ne s'entend pas forcément très bien avec ses congénères mais une bonne sociabilisation arrangera le problème. En revanche, il s'entend très bien avec les chats et les enfants de la famille si sa socialisation a été faite en ce sens.","Chien musclé, ramassé. Tête ovoïde (courbée).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pinscher nain,https://fr.wikipedia.org/wiki/Pinscher_nain,Allemagne,,4 à 6 kg,court et soyeux,Unicolore Rouge cerf / Rouge brun / Brun foncé / Bicolore noir et feu / Bleu / Lila,Robuste et longue. Stop léger mais distinct.,Œil foncé,"Elles sont en forme de V, elles sont naturellement repliées ou droite, la coupe est interdite en Europe.",Naturelle portée en sabre ou en faucille.,Tempérament vif mais équilibré,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Miniature Shar Pei,https://en.wikipedia.org/wiki/Miniature_Shar_Pei,,,,,,,,,,,,,Cantonese Shar-pei Chinese fighting dog,China,,,,,44–51 cm (17–20 in),16–29 kg (35–64 lb),"Short, harsh, and bristly",,,,All solid colours except white,,standard,,,,,,,,,,,,,,,,,,,,standard,standard,,,,,,
Moscow Watchdog,https://en.wikipedia.org/wiki/Moscow_Watchdog,,,,,,,,,,,,,Moskovskaya Storozhevaya Sobaka,Soviet Union,,,,,Males,Males,,"Red-piebald, spotted: white with red spots, red-black, black-red, sable",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mudi,https://fr.wikipedia.org/wiki/Mudi,Hongrie,"42-45 cm (M), 38-42 cm (F).",,"sur l'essentiel du corps, ondulé ou légèrement bouclé, serré","majoritairement noir, bleu merle, cendré ou brun",Tête cunéiforme,,"dressées hautes, en V, poilues",,,"11-15 kg (M), 8-11 kg (F).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mâtin napolitain,https://fr.wikipedia.org/wiki/M%C3%A2tin_napolitain,Italie Naples,65-75 cm (M) ; 60-68 cm. (F),,"Court, rigide","Noire, grise, brune, bringée","Massive, peau souple, plis","Écartés, enfoncés, de couleur foncée","Souples, couchées, petites","Épaisse à la base, amincie à l'extrémité","Impressionnant, vigilant, loyal, protecteur","60-70 kg (M), 50-60 kg (F).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Terre-neuve,https://fr.wikipedia.org/wiki/Terre-neuve_(chien),Canada,"68 à 71 cm (mâle), 66 à 69 cm (femelle)",,"lisse, dense de texture assez grosse, il est double et résistant à l'eau","noir, marron ou noir et blanc, gris, marron et blanc",massive,"petits, bien écartés, de couleur marron foncé ou couleur noisette","petites, attachées en arrière",large et puissante,"doux, bienveillant, intelligent, digne, joyeux, déterminé, confiant, sûr de lui, câlin, affectueux","62 / 92 kg (mâle), 52 / 72 kg (femelle)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spitz japonais,https://fr.wikipedia.org/wiki/Spitz_japonais,Japon,30–38 cm la femelle légèrement plus petite que le mâle,6 à 10 kg,"Long et abondant, avec un sous-poil dense.",Blanche,,"Assez grands, en amande et légèrement obliques.","Petites, de forme triangulaire, dressées.",posée sur le dos.,"Intelligent, gai et très éveillé",,Chien de compagnie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spitz de Norrbotten,https://fr.wikipedia.org/wiki/Spitz_de_Norrbotten,Suède,"Taille idéale : 45 cm (M), 42 cm (F)",9 à 10 kg,"Poil de couverture dur, court et droit avec sous-poil doux et dense.",La couleur idéale est blanc tacheté de rouge-jaune.,,"Taille moyenne, en forme d'amande implanté légèrement de biais. Couleur brun foncé.","Dressées, de taille moyenne, triangulaire.","Attachée haut, portée enroulée en boucle lâche.","Éveillé, aimable et sûr de lui. Jamais nerveux, peureux ou agressif.",,"Chien de chasse , chien de compagnie , chien de garde",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buhund norvégien,https://fr.wikipedia.org/wiki/Buhund_norv%C3%A9gien,Norvège,"43 à 47 cm (M), 41 à 45 cm (F)","16 à 20 kg (M), 14 à 18 kg (F)","Poil de couverture épais, abondant et dur. Sous-poil est doux et épais.","Noir ou froment, de préférence unie.","En forme de cône, sèche.","Ovales, de couleur sombre.","Triangulaires, dressées.",Fermement enroulée sur le dos.,"Courageux, énergique et amical",,"Chien de berger , Chien de garde",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chien d'élan norvégien gris,https://fr.wikipedia.org/wiki/Chien_d%27%C3%A9lan_norv%C3%A9gien_gris,Norvège,"Taille idéale : 52 cm (M), 49 cm (F)",,"Dense et rude, bien serré sur le corps avec un sous-poil doux.",Sable avec les extrémités charbonnées.,En forme de coin.,"Non proéminents, brun foncé.","Triangulaires, dressées.",Enroulée sur le dos.,"Impavide, énergique, courageux",,"Chien de compagnie , Chien de chasse",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norfolk Terrier,https://fr.wikipedia.org/wiki/Norfolk_Terrier,Royaume-Uni,25-26 cm au garrot maximum. 6 kg.,,"Dur et droit, couché contre le corps, avec une texture ""fil de fer"".","La robe se présente dans tous les tons de rouge, froment, noir et feu ou grisonné. Les marques ou plages blanches sont peu souhaitables mais admises.","Crâne est large et légèrement arrondi, de bonne largeur entre les oreilles, avec un stop bien marqué.","Forme ovale et bien enfoncés dans les orbites, de couleur marron foncé ou noire","De taille moyenne, en forme de V mais légèrement arrondies à l’extrémité, tombant vers l’avant contre la joue.","Auparavant la coutume était d’écourter la queue. a) Moyennement écourtée, attachée au niveau de la ligne du dessus et portée dressée. b) Queue de longueur modérée pour l’équilibre général du chien ; épaisse à la naissance et s’amenuisant vers l’extrémité ; aussi droite que possible, portée fièrement mais sans être gaie à l’excès.","Vif et intrépide, un démon pour sa taille. De nature aimable, il ne doit pas être agressif, même s'il doit être capable de se défendre le cas échéant.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norwich Terrier,https://fr.wikipedia.org/wiki/Norwich_Terrier,Grande-Bretagne,24 à 26 cm,"5 à 5,5 kg","Dur, droit, fil de fer et bien couché, avec un sous-poil épais.","Froment, rouge, noir et feu ou grisonné.","Crâne large, légèrement arrondi, mâchoires fortes et stop bien marqué.","Petits, de forme ovale, foncés; très expressifs.","Droites, bien écartées à l'attache au sommet du crâne. De taille moyenne et pointues à l'extrémité.",Port enjoué et droite. Est proportionnée au reste du corps,"Assez fort et teinté d'entêtement. Vif, joueur, mais plutôt calme et très affectueux.",,Terrier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ronds, pourvus de bons coussinets; pieds de chats, bien dirigés vers l'avant.",,,,,
Retriever de la Nouvelle-Écosse,https://fr.wikipedia.org/wiki/Retriever_de_la_Nouvelle-%C3%89cosse,Canada,"48 à 51 cm (M), 45 à 48 cm (F)","22 à 25 kg (M), 19 à 22 kg (F)","Droit et de longueur moyenne, avec sous-poil dense et doux, imperméable.",Rouge à orange avec ou sans marques blanches,"Légèrement cunéiforme. Crâne large et légèrement bombé, stop modérément marqué.","En forme d’amande, de grandeur moyenne, de couleur ambre à marron.","Tombantes, de forme triangulaire.","Large à sa naissance, garnie de franges abondantes, atteint au moins le jarret.","Intelligent, endurant, réceptif.","Chien de taille moyenne, d'allure compacte et puissante.",Chien de chasse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brachet polonais,https://fr.wikipedia.org/wiki/Brachet_polonais,Pologne,"56 à 65 cm (M), 55 à 60 cm (F).","27 à 34 kg (M), 22 à 28 kg (F).","De longueur moyenne, gros, avec un sous-poil épais.",Noir et feu.,"Assez lourde, avec des arcades sourcilières bien développées.","Disposés obliquement, de couleur brun foncé.","Attachées bas, assez longues, pendant librement.","Attachée assez bas, grosse, descend plus bas que le jarret, portée légèrement tombante.","Équilibré, docile, jamais agressif.",Chien courant de taille moyenne de construction forte et compacte.,"Chien de chasse , Chien de compagnie",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Olde English Bulldogge,https://en.wikipedia.org/wiki/Olde_English_Bulldogge,,,,,,,,,,,,,,United States,standard,,,,Males,Males,"Short, tight and medium to short","Brindle, of red, fawn, or black; either solid or pied: white, fawn, red, black.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bobtail,https://fr.wikipedia.org/wiki/Bobtail,Angleterre,"61 cm (M), 56 cm (F).",30 à 42 kg.,"abondant et hirsute, non frisé, rêche, sous-poil très dense.","gris, grisonné ou bleu, noir. Tête, cou, membres antérieurs et dessous du ventre blancs","Crane large et volumineux, stop bien marqué. Museau fort et carré, long d'environ la moitié la tête.",de préférence foncés,moyennes et portées à plat sur le côté,"souvent coupée à la naissance. Non coupée, elle est très basse, non courbée et très poilue","Fidèle, doux, affectueux. Bon compagnon pour les familles.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pinscher autrichien,https://fr.wikipedia.org/wiki/Pinscher_autrichien,Autriche,35 à 50 cm,Poids approximatif : entre 9 et 15 kg.,"Court, droit et poil double","couleur jaune, fauve, brun-jaune, roux, noir et brun, (avec museau, collier, gorge, poitrail, front et pattes blanches).","à ligne pure, lisse et sans replis",Sombres et un peu en amande.,"En ¨V¨, semi-tombante ou droite.",en faucille et peut être fournie tout comme l'inverse,"Vif, courageux, gentil et peu encombrant",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chien à loutre,https://fr.wikipedia.org/wiki/Chien_%C3%A0_loutre,"Angleterre , Royaume-Uni",F 61 cm / M 69 cm,,"Long, dense et bourru, dur et imperméable",Toutes les couleurs des chiens courants sont autorisées.,"Plutôt haute que large. Bien en dôme, stop net sans exagération.","Modérément enfoncés dans les orbites, couleur en adéquation avec la robe.","Longue, pendante, attachée au niveau de la commissure de l’œil","Attachée haut, la queue est portée haut en action, mais peut être tombante au repos.","Gentil, d'humeur égale, sans trace d'agressivité ou de nervosité, déterminé.",Chien courant de grande taille au corps solide.,"Chien de chasse , Chien de compagnie",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
